Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
Golden Eighties,Chantal Akerman,France,1986,1980s,1:37,"The exuberant enchantments of the singing, dancing musical meet the feminist, formalist sensibility of cinematic visionary Chantal Akerman in this uniquely captivating vision of love and survival in the age of late capitalism. Amid the consumerist wonderland of a shopping mall, a cadre of store employees bounce in and out of one another’s arms in a cycle of breakups, makeups, misunderstandings, and reunions, their romantic roundelay punctuated by imaginatively stylized production numbers. Working with frequent star Delphine Seyrig and a remarkable team of writers—who between them penned everything from JULES AND JIM to DESPERATELY SEEKING SUSAN—Akerman deftly balances the shiny pop pleasures of the genre with piercing variations on her signature themes, including a startlingly moving reflection on Jewish resilience and the legacy of the Holocaust.",1.62,https://www.criterionchannel.com/golden-eighties,Golden Eighties 1986,Golden Eighties 1986,tt0092219,6.9,317,Golden Eighties,Golden Eighties,1986,Golden Eighties 1986,False
The Gold Rush,Charles Chaplin,United States,1942,1940s,1:12,"Charlie Chaplin’s comedic masterwork—which charts a prospector’s search for fortune in the Klondike and his discovery of romance (with the beautiful Georgia Hale)—forever cemented the iconic status of Chaplin and his Little Tramp character. Shot partly on location in the Sierra Nevadas and featuring such timeless gags as the dance of the dinner rolls and the meal of boiled shoe leather, THE GOLD RUSH is an indelible work of heartwarming hilarity. Presented here are both Chaplin’s definitive 1942 version, for which the director added new music and narration, and the original 1925 silent film.",1.2,https://www.criterionchannel.com/the-gold-rush-1942-version,The Gold Rush 1942,The Gold Rush 1990,tt0653901,7.3,28,The Gold Rush,The Gold Rush,1990,The Gold Rush 1990,False
Gomorrah,Matteo Garrone,Italy,2008,2000s,2:17,"Matteo Garrone’s GOMORRAH is a stark, shocking vision of contemporary gangsterdom, and one of cinema’s most authentic depictions of organized crime. In this tour de force adaptation of undercover Italian reporter Roberto Saviano’s best-selling exposé of Naples’ Mafia underworld (known as the Camorra), Garrone links five disparate tales in which men and children are caught up in a corrupt system that extends from the housing projects to the world of haute couture. Filmed with an exquisite detachment interrupted by bursts of violence, GOMORRAH is a shattering, socially engaged true-crime story from a major new voice in Italian cinema.",2.28,https://www.criterionchannel.com/gomorrah,Gomorrah 2008,Gomorrah 2008,tt0929425,7.0,46671,Gomorrah,Gomorra,2008,Gomorrah 2008,False
Gonza the Spearman,Masahiro Shinoda,Japan,1986,1980s,2:06,A lancer falls into disgrace when his social ambitions lead him to become engaged to two different women. Directed by Masahiro Shinoda.,2.1,https://www.criterionchannel.com/gonza-the-spearman,Gonza the Spearman 1986,Gonza the Spearman 1986,tt0091136,7.0,328,Gonza the Spearman,Yari no Gonza,1986,Gonza the Spearman 1986,False
The Good Fairy,Keisuke Kinoshita,Japan,1951,1950s,1:48,Two journalists and their lovers share an uncertain future. Directed by Keisuke Kinoshita.,1.8,https://www.criterionchannel.com/the-good-fairy,The Good Fairy 1951,The Good Fairy 1951,tt0043159,6.6,58,The Good Fairy,Zen-ma,1951,The Good Fairy 1951,False
Good Morning,Yasujiro Ozu,Japan,1959,1950s,1:34,"A lighthearted take on director Yasujiro Ozu’s perennial theme of the challenges of inter­generational relationships, GOOD MORNING tells the story of two young boys who stop speaking in protest after their parents refuse to buy a television set. Ozu weaves a wealth of subtle gags through a family portrait as rich as those of his dramatic films, mocking the foibles of the adult world through the eyes of his child protagonists. Shot in stunning color and set in a suburb of Tokyo where housewives gossip about the neighbors’ new washing machine and unemployed husbands look for work as door-to-door salesmen, this charming comedy refashions Ozu’s own silent classic I WAS BORN, BUT . . . to gently satirize consumerism in postwar Japan.",1.57,https://www.criterionchannel.com/good-morning,Good Morning 1959,Good Morning 1959,tt0053134,7.9,8273,Good Morning,Ohayô,1959,Good Morning 1959,False
Grace Jones: Bloodlight and Bami,Sophie Fiennes,Ireland,2017,2010s,2:00,"This electrifying journey through the public and private worlds of the legendary Grace Jones blends eye-popping musical performances with intimate personal footage, all brimming with Jones’s bold aesthetic. A larger-than-life entertainer, an androgynous glam-pop diva, an unpredictable media presence: Grace Jones is all these things and more. Taking us home with her to Jamaica, into the studio with longtime collaborators Sly & Robbie, and backstage at gigs around the world, Sophie Fiennes’s documentary goes beyond the traditional music biography, offering a portrait as stylish and unconventional as its subject.",2.0,https://www.criterionchannel.com/grace-jones-bloodlight-and-bami,Grace Jones: Bloodlight and Bami 2017,Grace Jones: Bloodlight and Bami 2017,tt6903636,6.2,1029,Grace Jones: Bloodlight and Bami,Grace Jones: Bloodlight and Bami,2017,Grace Jones: Bloodlight and Bami 2017,False
Le grand amour,Pierre Etaix,France,1969,1960s,1:27,"Despite having a loving and patient wife at home, a good-natured suit-and-tie man, played by writer-director Pierre Etaix, finds himself hopelessly attracted to his gorgeous new secretary in this gently satirical tale of temptation. From this simple, standard premise, Etaix weaves a constantly surprising web of complexly conceived jokes. LE GRAND AMOUR is a cutting, nearly Buñuelian takedown of the bourgeoisie that somehow doesn’t have a mean bone in its body.",1.45,https://www.criterionchannel.com/le-grand-amour,Le grand amour 1969,Le Grand Amour 1969,tt0064390,7.6,1049,Le Grand Amour,Le grand amour,1969,Le Grand Amour 1969,False
The Grand Olympics,Romolo Marcellini,Italy,1961,1960s,2:27,"THE GRAND OLYMPICS, the first Olympic film to be nominated for an Academy Award, celebrates the architecture and atmosphere of Rome while utilizing telephoto lenses to bring the action closer to the audience than ever before.",2.45,https://www.criterionchannel.com/the-grand-olympics,The Grand Olympics 1961,The Grand Olympics 1961,tt0054940,6.9,73,The Grand Olympics,La grande olimpiade,1961,The Grand Olympics 1961,False
The Great Beauty,Paolo Sorrentino,Italy,2013,2010s,2:21,"For decades, journalist Jep Gambardella has charmed and seduced his way through the glittering nightlife of Rome. Since the legendary success of his only novel, he has been a permanent fixture in the city’s literary and elite social circles. But on his sixty-fifth birthday, Jep unexpectedly finds himself taking stock of his life, turning his cutting wit on himself and his contemporaries, and looking past the lavish nightclubs, parties, and cafés to find Rome itself, in all its monumental glory: a timeless landscape of absurd, exquisite beauty. Featuring sensuous cinematography, a lush score, and an award-winning central performance by the great Toni Servillo, this transporting experience by the brilliant Italian director Paolo Sorrentino is a breathtaking Felliniesque tale of decadence and lost love.",2.35,https://www.criterionchannel.com/the-great-beauty,The Great Beauty 2013,The Great Beauty 2013,tt2358891,7.8,81932,The Great Beauty,La grande bellezza,2013,The Great Beauty 2013,False
The Great Dictator,Charles Chaplin,United States,1940,1940s,2:05,"In his controversial masterpiece THE GREAT DICTATOR, Charlie Chaplin offers both a cutting caricature of Adolf Hitler and a sly tweaking of his own comic persona. Chaplin, in his first pure talkie, brings his sublime physicality to two roles: the cruel yet clownish “Tomainian” dictator and the kindly Jewish barber who is mistaken for him. Featuring Jack Oakie and Paulette Goddard in stellar supporting turns, THE GREAT DICTATOR, boldly going after the fascist leader before the U.S.’s official entry into World War II, is an audacious amalgam of politics and slapstick that culminates in Chaplin’s famously impassioned speech.",2.08,https://www.criterionchannel.com/the-great-dictator,The Great Dictator 1940,The Great Dictator 1940,tt0032553,8.4,205130,The Great Dictator,The Great Dictator,1940,The Great Dictator 1940,False
Great Expectations,David Lean,United Kingdom,1946,1940s,1:58,"One of the great translations of literature into film, David Lean’s GREAT EXPECTATIONS brings Charles Dickens’s masterpiece to robust on-screen life. Pip, Magwitch, Miss Havisham, and Estella populate Lean’s magnificent miniature, beautifully photographed by Guy Green and designed by John Bryan.",1.97,https://www.criterionchannel.com/great-expectations,Great Expectations 1946,Great Expectations 1946,tt0038574,7.8,22276,Great Expectations,Great Expectations,1946,Great Expectations 1946,False
The Great McGinty,Preston Sturges,United States,1940,1940s,1:22,"Preston Sturges famously sold the story for this barbed political satire to Paramount for just $10 in exchange for the chance to direct. Brian Donlevy stars as Dan McGinty, a Depression-era hobo who becomes a “professional voter” for a crooked Chicago political boss, casting ballots under a variety of assumed names. McGinty’s facility for vice allows him to rise easily through the ranks of the city’s corrupt political machine—but will a rare act of honesty be his undoing? Winner of the Academy Award for best original screenplay, THE GREAT MCGINTY is quintessential Sturges in its topsy-turvy take on American morals.",1.37,https://www.criterionchannel.com/the-great-mcginty,The Great McGinty 1940,The Great McGinty 1940,tt0032554,7.3,3504,The Great McGinty,The Great McGinty,1940,The Great McGinty 1940,False
The Green Fog,"Galen Johnson, Evan Johnson, Guy Maddin",United States,2017,2010s,1:01,"Alfred Hitchcock’s VERTIGO has long exerted a hypnotic pull over viewers entranced by its vision of lost love and voyeuristic obsession. In THE GREEN FOG, Guy Maddin and codirectors Evan Johnson and Galen Johnson offer their own visual reinterpretation of Hitchcock’s masterpiece through a collage of found-footage fragments drawn from a wide array of movies and television shows. The result is a playful, haunting, and totally unique cinephilic tribute that casts its own intoxicating, dreamlike spell.",1.02,https://www.criterionchannel.com/the-green-fog,The Green Fog 2017,The Green Fog 2017,tt6736812,7.0,658,The Green Fog,The Green Fog,2017,The Green Fog 2017,False
Green for Danger,Sidney Gilliat,United Kingdom,1946,1940s,1:31,"In the midst of Nazi air raids, a postman dies on the operating table at a rural English hospital. But was the death accidental? A delightful and wholly unexpected murder mystery, British writer/director Sidney Gilliat’s GREEN FOR DANGER features Trevor Howard and Sally Gray as suspected doctors and Alastair Sim in a marvelous turn as Scotland Yard’s insouciant Inspector Cockrill. A screenwriter who had worked with Hitchcock on such films as THE LADY VANISHES and JAMAICA INN, Gilliat slyly upends whodunit conventions with wit and style.",1.52,https://www.criterionchannel.com/green-for-danger,Green for Danger 1946,Green for Danger 1946,tt0038577,7.5,4467,Green for Danger,Green for Danger,1946,Green for Danger 1946,False
Green Grow the Rushes,Derek N. Twist,United States,1951,1950s,1:18,"The British film industry was in deep trouble in the late 1940s, sufficient to justify the craft unions themselves working to secure some production for their members -- one result was Green Grow The Rushes (1951), a comedy directed by Derek Twist and starring Richard Burton, Roger Livesey (The Life And Death of Colonel Blimp, I Know Where I'm Going), and Honor Blackman (Goldfinger, The Avengers, A Night To Remember). The plot is a piercing look at postwar Britain, and efforts to move the nation into the modern age -- that doesn't sit well with the people of Anderia Marsh, who have claimed a right (going back to Henry III) to evade government-imposed import duties and taxes. And when the government decides to curb this right, the whole village quietly rises up in a comical rebellion.",1.3,https://www.criterionchannel.com/green-grow-the-rushes,Green Grow the Rushes 1951,Green Grow the Rushes 1951,tt0043601,6.0,180,Green Grow the Rushes,Green Grow the Rushes,1951,Green Grow the Rushes 1951,False
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",United States,1976,1970s,1:35,"Meet Big and Little Edie Beale: mother and daughter, high-society dropouts, and reclusive cousins of Jackie Onassis. The two manage to thrive together amid the decay and disorder of their East Hampton, New York, mansion, making for an eerily ramshackle echo of the American Camelot. An impossibly intimate portrait, this 1976 documentary by Albert and David Maysles, codirected by Ellen Hovde and Muffie Meyer, quickly became a cult classic and established Little Edie as a fashion icon and philosopher queen.",1.58,https://www.criterionchannel.com/grey-gardens-1,Grey Gardens 1976,Grey Gardens 1975,tt0073076,7.6,12413,Grey Gardens,Grey Gardens,1975,Grey Gardens 1975,False
